"","Player","Pos","SCA","GCA","Gls","Sh","SoT","SoT%","G/Sh","G/SoT","ShDist","FK","PK","PKatt","xG","npxG","npxG/Sh","Tkl","TklW","TklDef 3rd","TklMid 3rd","TklAtt 3rd","Press","PressSucc","PressSucc%","PressDef 3rd","PressMid 3rd","PressAtt 3rd","Blocks","Int","Clr"
"1","David de Gea\7ba6d84e","GK",0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.03,0,0,0,0,0
"2","Hugo Lloris\8f62b6ee","GK",0.16,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.03,25,0.08,0.03,0,0,0,0
"3","Illan Meslier\6b625ac2","GK",0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.05,40,0.14,0,0,0,0,0.05
"4","Conor Coady\2928dca2","DF",0.19,0,0.11,0.33,0.11,33.3,0.33,1,11.7,0,0,0,0.06,0.06,0.16,0.83,0.5,0.52,0.28,0.03,5.21,1.87,36,3.25,1.82,0.14,1.63,1.18,3.91
"5","Ederson\3bb7b8b4","GK",0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0,0
"6","Łukasz Fabiański\9328b835","GK",0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,100,0.03,0,0,0,0,0
"7","José Sá\903b6e8b","GK",0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0,0,0.25,0.06,22.2,0.25,0,0,0,0,0.08
"8","Robert Sánchez\6a713852","GK",0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.03,20,0.14,0,0,0.06,0,0
"9","Pontus Jansson\172e52d8","DF",0.42,0.11,0.08,0.64,0.28,43.5,0.13,0.3,8.2,0,0,0,0.08,0.08,0.13,1,0.7,0.75,0.22,0.03,5.43,2.01,36.9,3.18,1.92,0.33,1.56,1.87,5.65
"10","Matty Cash\2389cdc2","DF",1.49,0.2,0.08,0.87,0.31,35.5,0.1,0.27,18.2,0,0,0,0.06,0.06,0.07,2.48,1.21,1.46,0.9,0.11,13.9,3.97,28.6,7.21,5.32,1.35,2.48,2.45,2.62
"11","Teemu Pukki\0745b37d","FW",1.65,0.11,0.31,1.85,0.68,36.9,0.12,0.33,14.8,0,0.09,0.09,0.32,0.26,0.14,0.68,0.31,0.03,0.4,0.26,19.5,4.84,24.8,1.11,8.15,10.3,0.6,0.48,0.11
"12","Emiliano Martínez\7956236f","GK",0.09,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.06,0,0,0,0.03,0.03
"13","Kasper Schmeichel\53af52f3","GK",0.09,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.06,0,0,0,0,0.03
"14","João Cancelo\bd6351cd","DF",2.84,0.46,0.03,2.21,0.66,29.9,0.01,0.04,21.5,0.03,0,0,0.11,0.11,0.05,2.52,1.55,0.86,1.03,0.63,9.74,3.38,34.7,2.95,3.93,2.87,1.26,2.18,1.55
"15","Harry Kane\21a66f6a","FW",3.21,0.54,0.46,3.55,1.35,37.9,0.1,0.26,17.1,0.23,0.11,0.11,0.55,0.46,0.13,0.54,0.29,0.09,0.32,0.14,10.6,3.12,29.5,0.74,4.24,5.62,0.63,0.2,1.06
"16","Marc Guéhi\d0706b27","DF",0.6,0.06,0.06,0.52,0.14,27.8,0.11,0.4,10.2,0,0,0,0.05,0.05,0.11,0.89,0.63,0.6,0.26,0.03,6.24,2.5,40.1,3.94,1.98,0.32,1.32,1.64,3.82
"17","Moussa Sissoko\2acd49b9","MF",1.75,0.11,0.06,0.69,0.23,33.3,0.08,0.25,16.2,0,0,0,0.1,0.1,0.14,1.61,1.06,0.92,0.6,0.09,14,4.37,31.3,4.91,6.9,2.16,1.44,1.26,2.04
"18","Pierre Højbjerg\8b04d6c1","MF",2.2,0.12,0.06,0.87,0.29,33.3,0.07,0.2,22.2,0.03,0,0,0.06,0.06,0.06,2.43,1.42,0.81,1.3,0.32,19.2,5.04,26.2,7.33,9.16,2.72,2,1.94,1.74
"19","Declan Rice\1c7012b8","MF",1.72,0.23,0.03,0.73,0.2,28,0.04,0.14,21.4,0.03,0,0,0.03,0.03,0.04,2.1,1.49,1.2,0.79,0.12,13.5,4.43,32.8,6.09,6.36,1.05,1.69,2.74,1.46
"20","Alisson\7a2e46a8","GK",0.09,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.06,40,0.15,0,0,0,0,0.03
"21","Virgil van Dijk\e06683ca","DF",0.71,0.18,0.09,1.03,0.38,37.1,0.09,0.23,11.8,0.03,0,0,0.07,0.07,0.07,0.62,0.35,0.38,0.21,0.03,3.65,1.29,35.5,2.12,1.32,0.21,0.91,1.41,3.94
