Minute,Player,Squad,Outcome,Distance,Body Part,Notes,SCA 1 Player,SCA 1 Event,SCA 2 Player,SCA 2 Event,date
2,Kieran Tierney,Arsenal,Saved,33.0,Left Foot,,Nicolas Pépé,Pass (Live),Granit Xhaka,Pass (Live),2021-08-13
11,Frank Onyeka,Brentford,Off Target,7.0,Head,,Bryan Mbeumo,Pass (Live),Rico Henry,Pass (Live),2021-08-13
12,Bryan Mbeumo,Brentford,Woodwork,16.0,Right Foot,,Ivan Toney,Pass (Live),Frank Onyeka,Pass (Live),2021-08-13
16,Calum Chambers,Arsenal,Wayward,20.0,Right Foot,Half volley,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live),2021-08-13
22,Sergi Canós,Brentford,Goal,17.0,Right Foot,,Ethan Pinnock,Pass (Live),,,2021-08-13
28,Sergi Canós,Brentford,Off Target,20.0,Right Foot,,Frank Onyeka,Pass (Live),Sergi Canós,Pass (Live),2021-08-13
30,Bryan Mbeumo,Brentford,Off Target,13.0,Right Foot,,Bryan Mbeumo,Dribble,Kristoffer Ajer,Pass (Live),2021-08-13
31,Folarin Balogun,Arsenal,Off Target,9.0,Right Foot,,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live),2021-08-13
33,Nicolas Pépé,Arsenal,Off Target,24.0,Left Foot,,Martinelli,Pass (Live),Emile Smith Rowe,Pass (Live),2021-08-13
38,Folarin Balogun,Arsenal,Off Target,24.0,Right Foot,,,,,,2021-08-13
42,Folarin Balogun,Arsenal,Wayward,9.0,Head,,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live),2021-08-13
45+1,Nicolas Pépé,Arsenal,Blocked,16.0,Left Foot,,Martinelli,Pass (Live),Emile Smith Rowe,Pass (Live),2021-08-13
51,Emile Smith Rowe,Arsenal,Saved,17.0,Right Foot,,Kieran Tierney,Pass (Live),Ben White,Interception,2021-08-13
60,Albert Sambi Lokonga,Arsenal,Saved,26.0,Left Foot,,Nicolas Pépé,Pass (Live),Albert Sambi Lokonga,Pass (Live),2021-08-13
64,Kieran Tierney,Arsenal,Blocked,18.0,Right Foot,Half volley,Bukayo Saka,Pass (Live),Albert Sambi Lokonga,Pass (Live),2021-08-13
65,Martinelli,Arsenal,Wayward,5.0,Head,,Nicolas Pépé,Pass (Dead),Kieran Tierney,Shot,2021-08-13
66,Sergi Canós,Brentford,Saved,16.0,Right Foot,,Bryan Mbeumo,Pass (Live),Vitaly Janelt,Pass (Live),2021-08-13
68,Calum Chambers,Arsenal,Blocked,20.0,Right Foot,,Granit Xhaka,Pass (Live),Bukayo Saka,Pass (Live),2021-08-13
70,Granit Xhaka,Arsenal,Off Target,14.0,Left Foot,Half volley,Calum Chambers,Pass (Live),Nicolas Pépé,Pass (Live),2021-08-13
73,Christian Nørgaard,Brentford,Goal,3.0,Head,,,,,,2021-08-13
76,Kieran Tierney,Arsenal,Off Target,16.0,Left Foot,Volley,Emile Smith Rowe,Pass (Live),Kieran Tierney,Pass (Live),2021-08-13
77,Nicolas Pépé,Arsenal,Off Target,25.0,Left Foot,Free kick,Kieran Tierney,Fouled,Bukayo Saka,Pass (Live),2021-08-13
80,Christian Nørgaard,Brentford,Off Target,3.0,Head,,Sergi Canós,Pass (Dead),Rico Henry,Pass (Live),2021-08-13
83,Nuno Tavares,Arsenal,Off Target,27.0,Left Foot,,Albert Sambi Lokonga,Pass (Live),Reiss Nelson,Pass (Live),2021-08-13
86,Granit Xhaka,Arsenal,Off Target,27.0,Left Foot,,Albert Sambi Lokonga,Pass (Live),Bukayo Saka,Pass (Live),2021-08-13
87,Nicolas Pépé,Arsenal,Saved,14.0,Left Foot,,Kieran Tierney,Pass (Live),Emile Smith Rowe,Pass (Live),2021-08-13
